CNT	Subject	Number of possession	Minimum	First quantile	Median	Third quantile	Maximum
Bulgaria	Maths	Three or more	234.8575	387.49025	457.6336	524.89485	706.6599
Bulgaria	Reading	None	37.7533	275.73055	347.2763	434.63595	583.7978
Bulgaria	Reading	One	56.1179	371.2823	457.26915	529.193175	791.4545
Bulgaria	Reading	Two	129.8968	367.43655	455.38195	528.379	773.0266
Bulgaria	Reading	Three or more	98.621	360.49615	460.2982	535.1704	741.1747
Bulgaria	Science	None	136.1805	313.0735	380.4924	441.7102	714.0433
Bulgaria	Science	One	110.7236	387.88235	455.7441	522.8833	765.8896
Bulgaria	Science	Two	156.4155	383.5696	459.4741	531.9284	720.2909
Bulgaria	Science	Three or more	194.6475	389.02465	468.1462	532.48785	755.0727
Brazil	Maths	None	146.6817	308.58385	351.9318	395.27965	623.781
Brazil	Maths	One	120.1979	328.9531	372.61255	420.2446	687.4202
Brazil	Maths	Two	173.3214	348.3487	398.2785	455.2968	698.3253
Brazil	Maths	Three or more	180.955	355.105925	415.4152	484.5848	682.5907
Brazil	Reading	None	92.2856	322.0173	373.3674	424.3244	622.5842
Brazil	Reading	One	113.2164	344.8181	396.603	452.1253	707.2577
Brazil	Reading	Two	105.1167	361.659	417.6347	478.743	741.2541
Brazil	Reading	Three or more	128.1262	367.670275	431.5706	497.3216	726.0034
Brazil	Science	None	162.9429	325.61545	368.0903	415.4606	632.9168
Brazil	Science	One	122.6595	343.4726	390.47	438.0269	671.1488
Brazil	Science	Two	134.0358	358.5789	411.9172	466.2812	690.0783
Brazil	Science	Three or more	170.9623	368.6498	426.837	488.3812	691.9433
Canada	Maths	None	231.2743	425.93085	458.2567	513.3276	693.6517
Canada	Maths	One	195.4432	437.1475	494.2437	556.4029	788.5263
Canada	Maths	Two	231.2743	454.3621	513.2497	572.7606	828.4079
Canada	Maths	Three or more	212.1904	465.423	525.2454	584.3667	798.6524
Canada	Reading	None	190.7645	386.59945	465.8316	523.3712	664.4444
Canada	Reading	One	155.5591	439.6882	503.7554	562.5344	787.4918
Canada	Reading	Two	153.3938	456.1281	517.9581	577.388	818.8582
Canada	Reading	Three or more	175.0463	469.5604	530.2059	587.9523	822.9887
Canada	Science	None	217.9597	421.9881	463.577	522.79	690.7311
Canada	Science	One	205.7441	445.4868	505.8187	565.8709	814.4722
Canada	Science	Two	131.2383	458.2618	519.2465	579.019	802.6296
Canada	Science	Three or more	154.5505	470.3842	532.8609	591.188	840.8616
Switzerland	Maths	None	283.7747	410.7415	464.7219	528.2832	703.7
Switzerland	Maths	One	188.7444	444.2359	512.7045	575.4868	802.2356
Switzerland	Maths	Two	193.418	469.0061	531.4769	593.8698	852.8665
Switzerland	Maths	Three or more	197.7021	460.8272	525.8685	593.6361	793.823
Switzerland	Reading	None	239.202	377.6984	438.622	511.6985	677.9476
Switzerland	Reading	One	130.9394	429.2629	491.2848	553.0026	757.0609
Switzerland	Reading	Two	177.4522	446.8034	510.9042	567.57355	781.6845
Switzerland	Reading	Three or more	170.796	437.0418	502.8817	569.2024	738.8712
Switzerland	Science	None	245.9344	387.6725	444.6475	507.031	673.9463
Switzerland	Science	One	179.7277	432.1522	493.0436	553.5621	781.1824
Switzerland	Science	Two	148.0231	455.0914	515.3301	573.680525	794.89
Switzerland	Science	Three or more	228.0306	453.8791	510.7609	576.1283	776.2402
Chile	Maths	None	172.3867	324.53265	370.27575	419.348775	577.4342
Chile	Maths	One	178.8518	363.674225	411.71525	466.7472	698.8705
Chile	Maths	Two	238.5964	404.51	472.4334	531.4769	695.7548
Chile	Maths	Three or more	262.8992	467.506625	518.11805	568.788	748.9562
Chile	Reading	None	186.1934	340.8146	388.1833	439.4163	610.2724
Chile	Reading	One	187.6369	387.3212	440.2698	487.92875	679.3896
Chile	Reading	Two	221.3186	431.6321	485.9605	534.8924	707.1782
Chile	Reading	Three or more	256.7646	476.141025	528.89825	573.6547	720.9304
Chile	Science	None	208.5416	353.86985	399.93475	437.537325	622.2865
Chile	Science	One	153.6181	386.390325	438.0269	492.1112	748.3588
Chile	Science	Two	218.799	430.567	489.8732	546.1954	713.8568
Chile	Science	Three or more	279.5039	478.543425	531.2756	582.00295	782.3946
Colombia	Maths	None	133.3619	327.3952	371.7947	416.8173	627.2862
Colombia	Maths	One	160.0016	342.2729	388.6976	441.451175	670.2056
Colombia	Maths	Two	175.1129	361.7464	405.4448	462.03455	703.4663
Colombia	Maths	Three or more	231.0407	359.4096	413.1563	485.1301	697.3906
Colombia	Reading	None	133.9066	354.3212	406.8496	456.2885	656.855
Colombia	Reading	One	102.6307	366.230075	421.35535	475.85525	685.7319
Colombia	Reading	Two	142.6478	388.432	443.4574	494.18125	689.5446
Colombia	Reading	Three or more	200.4084	392.6141	446.6651	505.1852	707.2577
Colombia	Science	None	167.2324	350.373	397.8366	443.57515	681.4062
Colombia	Science	One	117.251	362.4953	411.5442	464.1365	719.6382
Colombia	Science	Two	183.0847	378.90715	430.567	483.7188	643.1742
Colombia	Science	Three or more	190.5446	380.8653	442.5028	497.7061	706.4901
Costa Rica	Maths	None	178.6182	356.235375	394.89015	434.8886	673.3214
Costa Rica	Maths	One	187.8875	377.4809	420.4783	463.7093	731.6638
Costa Rica	Maths	Two	290.0062	389.55445	431.1497	479.0544	652.6017
Costa Rica	Maths	Three or more	246.3857	389.6713	446.7285	505.38245	649.0185
Costa Rica	Reading	None	182.6648	388.5805	435.4448	478.3375	676.915
Costa Rica	Reading	One	206.0816	405.261	453.0807	501.839	672.7335
Costa Rica	Reading	Two	251.7925	427.46005	465.1099	521.86565	634.4807
Costa Rica	Reading	Three or more	202.954	415.4996	479.5449	535.60725	681.522
Costa Rica	Science	None	185.8821	377.1587	421.2421	464.1365	645.9717
Costa Rica	Science	One	231.947	397.9299	445.3935	488.3812	713.3905
Costa Rica	Science	Two	279.1309	419.70345	458.5416	508.38305	631.8911
Costa Rica	Science	Three or more	234.0918	419.0041	470.2909	518.08095	688.8661
Czech Republic	Maths	None	236.5711	397.246425	446.5337	537.3578	711.3335
Czech Republic	Maths	One	138.425	440.9643	511.614	580.569375	896.7986
Czech Republic	Maths	Two	189.5233	476.5618	545.7314	606.3328	815.7891
Czech Republic	Maths	Three or more	252.9288	463.2809	536.7736	600.296	812.5954
Czech Republic	Reading	None	250.1322	401.335225	469.16325	527.664175	650.3592
Czech Republic	Reading	One	114.5435	446.48015	510.62305	569.9215	853.2519
Czech Republic	Reading	Two	236.5555	470.315	533.195	589.5409	771.6762
Czech Republic	Reading	Three or more	258.4486	459.10715	523.0905	587.158	706.5428
Czech Republic	Science	None	243.1369	401.659825	479.8489	549.50575	713.3905
Czech Republic	Science	One	106.0612	462.0617	524.98135	585.1035	832.1895
Czech Republic	Science	Two	237.3555	484.3715	548.9929	606.2477	764.1179
Czech Republic	Science	Three or more	240.3394	466.51435	538.4558	597.85525	728.9631
Germany	Maths	None	231.8975	379.9735	435.9012	526.6475	688.0433
Germany	Maths	One	235.4806	446.45585	514.9634	577.1226	775.7517
Germany	Maths	Two	187.8096	467.604	539.1883	600.7244	797.0167
Germany	Maths	Three or more	205.4136	452.7263	518.157	597.2971	767.1055
Germany	Reading	None	178.8155	383.2586	444.897	515.6701	623.0931
Germany	Reading	One	227.4936	454.6846	518.6798	574.415	753.8837
Germany	Reading	Two	169.1921	463.76035	532.33215	587.62705	751.5007
Germany	Reading	Three or more	217.3089	452.7607	521.4685	581.6325	713.6916
Germany	Science	None	255.2592	384.875	455.0914	520.0858	664.9012
Germany	Science	One	205.8374	464.18315	528.5714	589.8825	773.163
Germany	Science	Two	159.213	477.56435	550.8579	607.7396	782.1149
Germany	Science	Three or more	210.4998	464.2298	537.1503	600.2797	758.0567
Denmark	Maths	None	243.3479	374.443025	400.10905	461.197225	564.348
Denmark	Maths	One	187.5759	418.453	477.4186	535.3716	751.0594
Denmark	Maths	Two	163.1173	444.33325	504.33085	562.4786	733.2217
Denmark	Maths	Three or more	231.7417	436.91385	497.82675	552.527675	710.5546
Denmark	Reading	None	157.9649	352.035675	404.5858	484.33655	643.7923
Denmark	Reading	One	154.5165	421.1472	480.2666	539.7377	740.6981
Denmark	Reading	Two	129.0949	442.9762	502.7612	559.5954	743.6371
Denmark	Reading	Three or more	216.4534	421.6044	484.92525	544.324525	710.1966
Denmark	Science	None	174.8788	361.096625	406.32225	454.4153	606.8072
Denmark	Science	One	119.116	411.1712	477.1913	542.4655	786.0313
Denmark	Science	Two	148.9556	434.2969	503.0679	563.9127	758.1499
Denmark	Science	Three or more	162.9429	426.836975	496.72695	557.5718	729.8956
Spain	Maths	None	158.3658	448.0527	505.03195	560.940175	766.0928
Spain	Maths	One	98.2318	417.693575	480.5344	541.6809	794.6799
Spain	Maths	Two	98.2318	441.7433	503.6688	561.5439	811.8165
Spain	Maths	Three or more	160.6247	456.2315	516.6771	574.3184	759.7835
Spain	Reading	None	113.056	445.04125	501.6108	554.6754	742.0215
Spain	Reading	One	75.6052	424.5627	487.8692	545.8539	807.4202
Spain	Reading	Two	75.6052	441.7733	505.1852	560.1514	824.895
Spain	Reading	Three or more	99.4229	453.43815	514.7169	572.4502	764.2097
Spain	Science	None	166.1134	451.244875	501.7158	553.6554	734.3715
Spain	Science	One	20.179	434.3902	492.1112	548.9929	742.0179
Spain	Science	Two	20.179	454.8116	513.7449	570.1604	822.9579
Spain	Science	Three or more	174.8788	466.88735	523.8157	578.5528	781.5554
Estonia	Maths	None	262.9771	446.339	499.7741	542.61565	727.2239
Estonia	Maths	One	245.6068	465.948725	518.8581	573.929	786.1894
Estonia	Maths	Two	313.608	475.43235	532.52845	586.761925	787.0463
Estonia	Maths	Three or more	340.5593	497.2036	544.0178	604.3075	751.9162
Estonia	Reading	None	227.6539	452.66145	508.1099	553.6283	683.9607
Estonia	Reading	One	226.0501	464.3079	518.80405	569.6037	766.6721
Estonia	Reading	Two	251.7925	471.17325	526.39325	587.119875	749.5598
Estonia	Reading	Three or more	276.0914	483.1034	544.5035	601.3604	757.7397
Estonia	Science	None	269.3398	476.701825	535.0056	586.5722	753.301
Estonia	Science	One	249.9441	487.3555	542.60535	596.5731	820.3469
Estonia	Science	Two	326.5013	494.1393	554.0283	608.4623	791.6263
Estonia	Science	Three or more	321.4659	510.0149	558.9705	621.727	766.3558
Finland	Maths	None	285.2547	424.48975	484.8185	540.590475	678.6961
Finland	Maths	One	199.5716	445.4822	506.5509	567.5417	769.8317
Finland	Maths	Two	235.0911	456.6989	515.85915	571.5921	768.5076
Finland	Maths	Three or more	263.6002	471.323425	532.21685	588.7288	750.2804
Finland	Reading	None	180.4194	387.7222	497.46835	573.317775	665.516
Finland	Reading	One	86.5918	444.4999	516.3542	578.3411	827.7545
Finland	Reading	Two	138.7182	453.41945	523.8925	585.4899	801.6217
Finland	Reading	Three or more	117.0657	476.22895	536.1633	595.8954	781.764
Finland	Science	None	228.0306	439.91515	518.73365	578.972375	716.8407
Finland	Science	One	169.1906	465.069	533.1406	597.2025	836.1992
Finland	Science	Two	127.5084	467.983025	534.2596	596.9228	821.9321
Finland	Science	Three or more	235.1175	484.161725	548.10705	604.779025	794.6102
France	Maths	None	257.4466	373.411	420.55615	503.8051	621.4442
France	Maths	One	164.5194	420.147225	485.7532	554.0661	797.8735
France	Maths	Two	198.0916	461.78145	526.84215	586.82035	747.632
France	Maths	Three or more	184.7718	491.6732	564.1143	621.4442	798.1072
France	Reading	None	204.7183	353.51925	441.4525	508.214475	665.0004
France	Reading	One	68.0669	427.179975	506.99215	576.52015	875.7058
France	Reading	Two	156.361	464.4172	540.613	602.726475	801.0657
France	Reading	Three or more	142.728	503.6033	561.3433	622.1076	801.8466
France	Science	None	286.0313	375.55015	426.32415	513.698225	618.37
France	Science	One	123.7784	425.041975	494.6289	561.7913	805.7068
France	Science	Two	181.5927	468.5192	530.3432	589.62605	755.166
France	Science	Three or more	191.8501	493.9761	556.2663	608.0194	782.2081
United Kingdom	Maths	None	269.1307	374.598825	450.85685	509.316075	644.4228
United Kingdom	Maths	One	189.6012	418.5309	477.0291	536.1505	788.1368
United Kingdom	Maths	Two	167.6351	435.5897	500.1636	565.127	817.5027
United Kingdom	Maths	Three or more	197.3127	449.49365	513.4834	571.67005	800.444
United Kingdom	Reading	None	286.8375	394.22005	458.37355	526.353525	607.254
United Kingdom	Reading	One	109.0463	429.7441	491.3335	550.5403	793.9169
United Kingdom	Reading	Two	139.882	446.6651	510.9042	572.8604	776.2038
United Kingdom	Reading	Three or more	183.0658	460.2982	522.7697	579.33405	812.186
United Kingdom	Science	None	258.0567	381.308275	470.1977	525.8672	701.6412
United Kingdom	Science	One	175.0653	438.0269	500.5035	563.3066	845.8971
United Kingdom	Science	Two	139.351	454.765	521.3913	590.86165	830.6043
United Kingdom	Science	Three or more	215.442	467.77325	534.0731	594.6848	821.2794
Greece	Maths	None	247.1647	333.56835	423.12665	486.278975	572.0595
Greece	Maths	One	184.1486	382.8556	442.2106	501.77985	735.4806
Greece	Maths	Two	182.9023	405.6785	462.6967	523.551175	726.9123
Greece	Maths	Three or more	181.0329	433.6423	486.2985	548.34085	723.0955
Greece	Reading	None	165.022	350.4317	437.55345	511.622675	615.7531
Greece	Reading	One	68.7118	406.0187	478.21985	536.38275	782.5583
Greece	Reading	Two	137.9163	428.217475	492.6351	551.58335	734.8997
Greece	Reading	Three or more	156.2808	446.043875	513.1865	559.221125	797.9171
Greece	Science	None	205.7441	344.311825	450.89515	498.0791	588.8101
Greece	Science	One	172.2678	398.8624	457.6091	518.5705	762.9056
Greece	Science	Two	172.5476	421.2421	482.36665	534.212975	720.2909
Greece	Science	Three or more	139.5375	433.317775	493.32335	553.515475	740.8057
Hong Kong-China	Maths	None	265.7813	425.6387	483.96165	580.335675	716.163
Hong Kong-China	Maths	One	208.9967	496.4247	564.8933	624.8715	828.9531
Hong Kong-China	Maths	Two	251.8383	537.6305	598.6992	657.995775	816.568
Hong Kong-China	Maths	Three or more	331.212	528.7506	588.4172	649.4859	828.33
Hong Kong-China	Reading	None	281.4645	395.6498	479.0615	569.203225	692.7218
Hong Kong-China	Reading	One	160.3707	490.732	553.1635	603.52205	764.877
Hong Kong-China	Reading	Two	207.6855	515.054525	572.37	621.59615	795.5113
Hong Kong-China	Reading	Three or more	270.2372	506.2093	553.797	608.23025	760.2257
Hong Kong-China	Science	None	249.6643	399.188725	491.0388	571.792275	718.053
Hong Kong-China	Science	One	186.2551	503.3943	561.1153	610.9101	810.3693
Hong Kong-China	Science	Two	181.3129	530.3432	586.4323	630.3059	772.1373
Hong Kong-China	Science	Three or more	298.8997	515.5166	578.8325	624.15145	747.7993
Croatia	Maths	None	240.5437	366.0305	414.8699	477.5744	627.2083
Croatia	Maths	One	223.2513	407.022075	463.7872	529.19845	762.0424
Croatia	Maths	Two	234.1564	414.811475	475.3155	529.860575	784.7095
Croatia	Maths	Three or more	257.2909	409.164175	483.0659	537.708375	724.1081
Croatia	Reading	None	259.8119	390.7696	445.2148	515.6324	631.8343
Croatia	Reading	One	195.095	425.45135	486.2011	546.0922	727.7509
Croatia	Reading	Two	173.1217	433.700525	494.7017	547.962725	727.5126
Croatia	Reading	Three or more	258.2081	427.3583	496.7356	553.74485	690.697
Croatia	Science	None	264.8639	391.1227	448.937	514.5841	619.862
Croatia	Science	One	186.9079	431.94235	489.12715	547.0347	765.9828
Croatia	Science	Two	212.085	439.751925	494.39575	550.64805	741.2719
Croatia	Science	Three or more	243.4166	437.1177	504.0936	564.6587	712.1783
Hungary	Maths	None	267.0276	361.843775	427.0603	473.504425	662.9615
Hungary	Maths	One	144.1891	414.7141	473.8355	537.1631	789.6947
Hungary	Maths	Two	260.3287	448.1305	509.7445	573.6174	752.5393
Hungary	Maths	Three or more	300.2882	470.1355	522.5191	591.1824	721.5376
Hungary	Reading	None	252.5142	383.13945	434.5634	513.409	621.7298
Hungary	Reading	One	145.9357	433.7538	495.018	552.5219	729.1806
Hungary	Reading	Two	255.9307	466.264	527.5847	576.8208	739.9038
Hungary	Reading	Three or more	267.7512	475.219825	534.6986	591.308225	719.7283
Hungary	Science	None	249.6643	380.981875	442.82915	516.892	657.1615
Hungary	Science	One	181.5927	436.9079	497.7061	554.0283	782.4879
Hungary	Science	Two	212.2715	471.5964	530.3432	587.5979	740.8989
Hungary	Science	Three or more	332.6557	486.283075	542.8385	586.828625	721.5032
Indonesia	Maths	None	122.6126	331.212	374.1315	420.556175	665.6099
Indonesia	Maths	One	205.0241	321.1637	361.7464	413.136825	628.5325
Indonesia	Maths	Two	231.5859	338.1446	377.1304	431.3834	562.5565
Indonesia	Maths	Three or more	205.1799	336.333575	388.97025	443.009	631.2588
Indonesia	Reading	None	135.831	352.837325	402.67945	450.5366	662.228
Indonesia	Reading	One	183.6484	339.361175	387.0763	441.580775	620.519
Indonesia	Reading	Two	172.3999	339.806	395.3321	449.17925	599.2753
Indonesia	Reading	Three or more	190.7645	352.817525	415.00355	461.88205	583.4247
Indonesia	Science	None	127.2286	340.8616	384.0358	428.702	603.73
Indonesia	Science	One	209.8471	328.039925	371.07425	421.89485	612.4021
Indonesia	Science	Two	225.1399	339.952425	379.8396	432.87485	537.2436
Indonesia	Science	Three or more	242.9504	335.0802	401.70645	450.522175	600.4662
Ireland	Maths	None	267.6507	393.13755	468.34395	518.176475	672.153
Ireland	Maths	One	196.1443	409.92365	471.6545	527.601675	723.5629
Ireland	Maths	Two	233.9227	449.707875	507.36875	560.9207	754.1751
Ireland	Maths	Three or more	210.9441	461.33355	519.0918	574.35735	751.6046
Ireland	Reading	None	276.5726	413.185825	485.6455	529.42585	685.5646
Ireland	Reading	One	168.6308	436.159675	498.7515	557.828075	768.1813
Ireland	Reading	Two	255.0003	472.805175	530.01755	586.7849	777.713
Ireland	Reading	Three or more	210.0913	486.08085	540.2521	591.2559	822.1149
Ireland	Science	None	350.373	420.962325	501.85565	533.070675	694.461
Ireland	Science	One	178.7952	427.3965	496.12085	558.550925	787.7098
Ireland	Science	Two	216.0947	467.8665	528.99105	591.537675	787.9896
Ireland	Science	Three or more	205.2779	480.5017	537.8031	597.4823	811.768
Iceland	Maths	None	184.0707	420.0888	492.53	546.6272	769.9875
Iceland	Maths	One	128.143	433.1165	491.82895	550.98925	750.3583
Iceland	Maths	Two	183.9149	442.833775	503.5909	569.781125	769.2086
Iceland	Maths	Three or more	237.5058	422.81505	497.1257	556.32495	701.9863
Iceland	Reading	None	145.1338	385.1192	472.3274	530.10755	738.0118
Iceland	Reading	One	121.1362	424.8533	489.57695	550.997	768.499
Iceland	Reading	Two	200.468	435.08615	498.65115	562.713125	729.5778
Iceland	Reading	Three or more	178.7353	402.36185	485.1585	560.1117	731.643
Iceland	Science	None	192.5028	407.348	479.4293	537.61655	742.9504
Iceland	Science	One	61.3018	414.7147	477.3312	541.7195	762.2529
Iceland	Science	Two	157.6278	422.1746	492.1112	559.903	790.5073
Iceland	Science	Three or more	218.8922	410.65835	481.8538	556.31295	705.0914
Israel	Maths	None	0	0	0	0	0
Israel	Maths	One	0	0	0	0	0
Israel	Maths	Two	0	0	0	0	0
Israel	Maths	Three or more	0	0	0	0	0
Israel	Reading	None	0	0	0	0	0
Israel	Reading	One	0	0	0	0	0
Israel	Reading	Two	0	0	0	0	0
Israel	Reading	Three or more	0	0	0	0	0
Israel	Science	None	0	0	0	0	0
Israel	Science	One	0	0	0	0	0
Israel	Science	Two	0	0	0	0	0
Israel	Science	Three or more	0	0	0	0	0
Italy	Maths	None	264.2234	373.352575	453.54415	524.01855	682.2792
Italy	Maths	One	108.5138	414.8699	477.6523	538.4873	778.3222
Italy	Maths	Two	169.972	435.102825	497.2815	557.123375	781.6716
Italy	Maths	Three or more	126.3515	450.4674	511.2245	570.8132	811.8165
Italy	Reading	None	172.6405	371.093425	453.51645	536.71575	713.3739
Italy	Reading	One	111.6045	420.9227	487.0749	548.9517	758.0604
Italy	Reading	Two	111.4521	442.0375	507.47065	564.5511	807.023
Italy	Reading	Three or more	32.8615	457.11965	519.8813	577.3822	869.9324
Italy	Science	None	181.5927	383.942575	458.44835	539.038575	749.1981
Italy	Science	One	130.9586	423.8297	489.3137	549.9254	783.3271
Italy	Science	Two	106.7139	444.7408	507.3107	566.7102	806.3596
Italy	Science	Three or more	136.5535	463.204	523.0698	578.855825	770.6453
Jordan	Maths	None	163.1173	334.4836	381.9988	429.3582	652.368
Jordan	Maths	One	119.5747	334.3278	380.2851	429.6697	660.9363
